id,reviewNumber,overallRating,date,summary,pros,cons,adviceToManagement,employeeType,position,reviewLink,workLife,culture,careerOpps,compBenefits,management
1,empReview_6126951,3, 16 Mar 2015,More opportunities in future...,"infrastructure, growth, less pressure, park to relax","appraisal system, less hike, no much learning",Null,Current Employee - Quality Specialist,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6126951.htm,3,4,3,3,3
2,empReview_6267904,1, 5 Apr 2015,Not Well Managed Company.,"None.Even Though I work here for 4 years, I get nothing. No Proper Appraisal, No Knowledge....","During the Acquisition of Satyam instead of giving Bonus, This Company had skipped an Appraisal Also.In the Client Site Applied Materials, Weekends will be spent in ODC preparing some unnecessary Reports.","They should get Feed back from Employees frequently.2nd, 3rd Level Managers should have One On One Meetings with Employees Occasionally.Managers should be more Active and Thought provoking.",Current Employee - Design Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6267904.htm,1,2,1,1,1
3,empReview_6043222,4, 4 Mar 2015,Not a bad company to work,good working environment and good management they allowed me to work freely.,very less hikes when compared to other companies and poor resource utilization.,Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6043222.htm,3,3,3,3,4
4,empReview_6120407,3, 15 Mar 2015,Ok,"Good company to start, freshers can have a good exposure",No much scope for senior people,Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6120407.htm,2,3,3,3,2
5,empReview_6121740,3, 15 Mar 2015,Decent company with average management,,,Look for some big development accounts and not go after support projects,Former Employee - Senior Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6121740.htm,Null,Null,Null,Null,Null
6,empReview_6123708,3, 15 Mar 2015,Nice Environment to work.,They have good projects in telecom domain.We can learn more.Employe friendly staff.If u r in bench then also u r safe.Day care facility,"Appraisal system is poor,they will not give u hike at time.not flexible for women employees in terms of timings.",Null,Former Employee - Senior Software Developer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6123708.htm,3,3,5,1,1
7,empReview_6115314,3, 14 Mar 2015,OK to work with tech mahindra,Managers are open for ideas. OnSite opportunities are there. Work life balance ..,Salary is very low. Hikes are very low.,Kindly focus on spending money to retain talants as well. Give proper hike...,Current Employee - Big Data Developer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6115314.htm,3,3,3,2,3
8,empReview_6115710,3, 14 Mar 2015,Good work exposure,"Lots of domain and technical exposure, managers are very supportive, friendly atmosphere, easy to get noticed when you work well, work life balance is good, onsite opportunities.","Promotions are not easy to get and there are no guidelines for promotions, salary hike every year is negligible, so unless you join with a fat package, not worth joining from financial angle. People who work for several years get less hike and laterals are taken in with high package.",NA,Former Employee - Anonymous Employee,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6115710.htm,5,4,4,2,4
9,empReview_6108550,3, 12 Mar 2015,Good for freshers,"Chance to work on multiple technologies,flexibility ,good work life balance","No proper Hikes,no skip level management interaction.",Have skip level interaction with the people to understand their concenrs,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6108550.htm,Null,Null,Null,Null,Null
10,empReview_6109076,3, 13 Mar 2015,Quality of work with onsite but less pay,Infrastructure is great. Facilities like transportation is good every hour bus is available.,"1.Cafeteria is very nice but taste of food is not so good, I found insects in my plate when ever I order for noodles :p2. Less pay also hike is very less like 5-7% yearly3. 9:30 hr daily is mandatory at office4. Manager do partiality region wise5. Many times Meetings go on regional language. I use to interrupt many times",Please improve appraisal cycle.Please be transparent don't do partiality with others,Former Employee - Software Test Engineer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6109076.htm,2,3,3,2,1
11,empReview_16718974,3, 7 Sep 2017,Telecom exposure but low salary hike,"Great telecom exposure, transport facility",Nominal salary hikes in spite of good appraisals and promotion,Null,Former Employee - Technical Specialist,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16718974.htm,4,3,3,3,3
12,empReview_17081307,1, 28 Sep 2017,Worst work culture,only benefit is to have WFH facility per a month,"1. Worst management2. selecting the candidates through back door process3. No recognsation of serious working people4. we feel to work like a political party.. ,,5 , No respect for the lady associates6. Bribes are accepting if i do this what is for u and what is for me like7 I Suggest u never join in TechM","If i send u onsite what is benefit for me,,If i give u chance for the project what is benefit for meworst to say all the things",Current Employee - Tech Lead,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW17081307.htm,2,1,1,2,1
13,empReview_16703803,2, 7 Sep 2017,decent place for freshers. learn for few years then leave.,work culture is decentrelocation and other allowances are provided,training sysytem is extremely poorsalary structure is quite less as compared to other MNC,kindly improve training system.,Former Employee - Associate Systems Engineer,I worked at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16703803.htm,4,4,3,2,3
14,empReview_16710403,2, 7 Sep 2017,"VP, Head of sales",Spread of offerings; engineering services; core manufacturing and auto.,Lacks focus on future growth technologies. Swatting at all things digital. Conflicting message and lacks consistency. Delivery challenges.,Simplify the approach. Delegate and let them narrow down their approach rather than being mile wide and an inch deep.,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16710403.htm,Null,Null,Null,Null,Null
15,empReview_17043954,1, 27 Sep 2017,Software Engineer,Good to learn as fresher.Luckily am in a team with no politicsSo work environment is very goodNo work pressure,Meagre salary. and yes no hikes.Who will give a hike of 1% or 2%.Difficult to meet the needs,Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW17043954.htm,3,3,3,1,3
16,empReview_16471109,4, 22 Aug 2017,Company review,Great Place to learn and grow,"No Salary increment , Mostly Top down approach",Should be more Employee centric,Current Employee - Business Associate,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16471109.htm,3,2,4,1,1
17,empReview_16663409,3, 5 Sep 2017,associate software,good company and good environment,no no no no no,Null,Current Employee - Associate S/W Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16663409.htm,5,2,4,4,2
18,empReview_16668865,3, 5 Sep 2017,Good company to work as a Fresher and Just move out after the bond,Will get to learn a lot of new things when joined as a fresher,"Bad Managers.. Behave as if they are doing something for you, but does nothing at the end., Lot of internal politics",Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16668865.htm,3,3,4,3,2
19,empReview_16671389,3, 5 Sep 2017,Good Company,Nice Environment and Excellent working culture.,Yet to Observe any Cons.,NA,Current Employee - Senior Software Engineer,I have been working at Tech Mahindra (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16671389.htm,3,3,3,4,3
20,empReview_16463754,5, 21 Aug 2017,Good Company flexible working hours,"flexible working hours, good work life balance",Improper management for employees who are on bench,Null,Former Employee - Anonymous Employee,I worked at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW16463754.htm,5,5,4,4,4
21,empReview_3014140,1, 5 Sep 2013,Company Policies,No Pros i can think of..,"One fine day the company will decide to take away the benefits that promised. Example:Out of the blue they decide that Loyalty Bonus (40 K per year) will not be given to employees more than 4 years oldEmployees were given 40 k on completion of 5 years which was taken away this year just like thatThe company decides that starting this year, the appraisal will happen from july rather than april taking away arrears for 3 months from every employees salary..When asked employees are told that these policies are decided at a high level...","Please define loyalty. If you cant, please look at a dictionaryPolicy changes are for benefits and if changed should come with a strong logic rather than being imposed",Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 5 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3014140.htm,1,2,2,1,1
22,empReview_2936056,2, 15 Aug 2013,Not a very good company to work.,Good only if you are not on BENCH for long and get into a good project.,"Mainframe technology is in its worst phase as far as this company is concerned. No quality projects , infact no projects in this technology. Scores of freshers being trained on this technology only to wait indefinitely for a project.Lowest salary among major IT companies in India.Negligible salary hike and that too if they want to give.Employee satisfaction is zerooooooooo.Satyam had far better work environmnent and policies than this company.After merger it has brought in its stupid policies and making life hell for its employees especially in the below 4 years experience group.",Better try to retain talent by motivating them with good salaries and employee friendly policies . Encourage cross technology training.,Current Employee - Software Developer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2936056.htm,3,3,2,1,2
23,empReview_2918060,2, 10 Aug 2013,Advice not to join tech Mahindra,Give good package to attract resources.Only have telecom project.Not a secure IT job,"Attracts talents with good package ,if no project asking associate to leave the company on no prior notice.Recruitment happens for one location with a decided ctc for a expected requirement .If no requirement comes forcing associate to relocate forcefully or leave the company.Not a good company to join ,as company do layoff if no project for a Associate for 3 month this happens for Associate inside the company or a lateral recruits.No clear policy of promotion and no hikes.Poor HR policy and processes.Support staff is too difficult to handle.Works purely on customer req,no stability can be guaranteeNot employee friendlyThing twice before joining tech mahindraNo IT ethics happens in tech mahindraLayoff happens quiet frequentlyNo growth in terms of technical and leadership.",Try to become employee friendlyDon't recruit lateral hire if you don't have project.,Former Employee - Senior Technical Architect,I worked at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2918060.htm,2,1,1,3,1
24,empReview_3009613,1, 3 Sep 2013,Good Company only for managers,1)ITP Training2)ESG Department is very good,1)Low Appraisal only 3 to 6% for A grade2)Rigid HR Policies3)Bad HR Policies4) No focus on employee satisfaction such as no reimbursement of company cost for working on Saturday and sunday,Please focus employes satisfaction,Current Employee - Technical Associate,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3009613.htm,2,3,1,1,1
25,empReview_2873684,4, 29 Jul 2013,Good,Opportunity to explore and learn,and the office is in jungle,Try to retain technology experts and technical associate,Current Employee - Consultant,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2873684.htm,2,3,4,3,3
26,empReview_2918031,2, 10 Aug 2013,Politics politics politics,The work profile was good..learnt a lot...,there is a lot of politics and every decision is at the manager's discretion...no matter how the indivisual has performed...they hire anyone who settles for less salary...past experience is no bar..,* try to deal with the politics* try to hire competent folks* try to provide individuals with better work culture,Current Employee - Project Manager,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2918031.htm,2,1,1,1,1
27,empReview_3000690,1, 1 Sep 2013,Worst company to work in.. No increment No promotion only work,No pros.All the good policies already removed,No Salary hikeNo PromotionNo Award/ReorganizationNo On-siteWorst HR Policies,"Please at least some time think about your valuable employees,Tech Mahindra at current position is just becoz of them.",Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3000690.htm,2,1,2,1,2
28,empReview_2917666,3, 10 Aug 2013,Excellant,Good for freshersNice ITP training,Not as suchbut salaries are less for freshers,Employee Satisfaction is also a factor,Current Employee - Business Analyst,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2917666.htm,2,2,3,1,1
29,empReview_2998578,1, 31 Aug 2013,"Very Bad, Stagnant, NO growth",No Pros. Worst company ever!,Worst salary.Taken for grantedNo growth,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2998578.htm,2,2,1,1,1
30,empReview_2913468,3, 8 Aug 2013,Quality Assurance Analyst having 2 years of experience,It is an MNC company. I proud to work there,Appraisal method is too bad and least salary,Null,Current Employee - Quality Assurance Analyst,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW2913468.htm,2,4,4,1,1
31,empReview_21311903,3, 3 Jul 2018,Sr Software Engineer,"Good to work as freshers, you can get good work and environment to grow",Management is poor. More managers than developers,try to retain good resource.,Current Employee - Senior Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21311903.htm,3,3,4,2,3
32,empReview_21313732,3, 3 Jul 2018,Job experience,Development project is good but you should be lucky to get as most projects are of support.,Hike is same like everyother IT company. Don't expect much.,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21313732.htm,3,3,3,3,3
33,empReview_21087963,5, 18 Jun 2018,Software Engineer,Employee friendly conditions but depends on project.,No much hike. Should depend on on-site oppurtunities.,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21087963.htm,Null,Null,Null,Null,Null
34,empReview_21626766,1, 24 Jul 2018,End up shaping your career in the field which the company likes it by landing in a random project.,There is a free gym where you can save 1000 per month.,Low salary compared to other companies.No choice of projects or according to skills. Do what they ask you to.Very less transparency with HR.Overcommitted to clients for which the employees suffer to do labor work in less pay.,Let the employees work for projects they are a match and pay them according to the market.,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21626766.htm,1,2,1,1,1
35,empReview_21318995,2, 3 Jul 2018,No Carrer growth,Events- if you love events and activities then this is the best place.All the festivals are celebrated hereNice campus,No carrer growthNo incrementYou will not get project according to your skill set.,Please use the resource according to the matching skill,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21318995.htm,3,3,1,1,1
36,empReview_21085221,4, 18 Jun 2018,TechM,Management encourages new ideas from associate,Appraisals are not on time,Good,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21085221.htm,4,4,4,3,4
37,empReview_21089111,4, 18 Jun 2018,Good,Good working environment in the project,Working in shifts in the company,Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21089111.htm,4,4,4,3,4
38,empReview_21278962,3, 30 Jun 2018,Salt with a pinch of sugar,Freedom to dabble in new technologyTrains you for your next job :)Especially beneficial (recommend) for freshers,"Appraisal cycle is not fixed and at last when it is done, you receive huge hike, in disappointmentWork environment is not that much associate friendlyUsual Office PoliticsBurdened with extra work. No personal life",Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21278962.htm,1,2,3,1,1
39,empReview_21293176,3, 1 Jul 2018,software associate,"good work culture, hard working, nice team, nice office, good training","less pay, time flexibility, less opportunities, no appraisals, no increments",Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21293176.htm,3,3,3,3,3
40,empReview_21294295,3, 2 Jul 2018,Not so good,Good training programOn site opportunities if your lucky will get those kimd projects,No hikePoor managementThey will tell we are going to hire for this that technology but they will put in different technology,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW21294295.htm,2,2,4,2,2
41,empReview_8483150,3, 30 Oct 2015,Good place to work,Good place to workBetter place to learnFun at workGood office environment,"Pressurized work ,no proper appraisal",Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8483150.htm,3,2,3,3,5
42,empReview_8490674,3, 30 Oct 2015,No no for a fresher,Good training for freshers and great client site opportunities,Not good opportunities for freshers in terms of salary,Create more facilities for employees,Former Employee - Software Engineer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8490674.htm,Null,Null,Null,Null,Null
43,empReview_8277202,4, 13 Oct 2015,Tech M,Good atmosphere for employee to work,Need to get more projects,Null,Current Employee - Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8277202.htm,4,4,4,3,3
44,empReview_8315893,4, 15 Oct 2015,Friendly Environment,"Friendly Environment, Got to do some challenging work, people are quite helpful",Changing projects was a tough task.,Null,Former Employee - Technical Associate,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8315893.htm,2,3,3,3,3
45,empReview_8455932,3, 28 Oct 2015,Work Place,Good Place to workNice AmbianceEarly Appraisal,Not much career developmentMonotonous Work,Need to check on the goals and achievements and promoting,Former Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8455932.htm,Null,Null,Null,Null,Null
46,empReview_8460652,3, 28 Oct 2015,work money growth career life balance,Good time pass less salary waste work,Worst worst worst ever no hike,Plz give some good job with good hike and facility.. Don't let security and cab people rule associates,Current Employee - Test Engineer,I have been working at Tech Mahindra (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8460652.htm,1,2,1,1,2
47,empReview_8464944,3, 28 Oct 2015,Need references to get placed on projects,yet another consulting firm. Standard benefits,Need references to get placed on projects,Null,Current Employee - Senior Systems Engineer/Project Lead,I have been working at Tech Mahindra (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8464944.htm,Null,Null,Null,Null,Null
48,empReview_8468067,2, 28 Oct 2015,Trying to know by reviews on glassdoor about my company,never realise whta's the good thing to work here other than salary,"designation does not matter here , who ever is new in the project will work as SE what ever the designation he is having .",Assign the work as per designation,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8468067.htm,3,3,2,2,2
49,empReview_8469276,2, 28 Oct 2015,Software Engineer,Growth Trajectory is fast. If u are lucky u get onsite opportunities .No other Pros.,"Very Less Salary , No Work Life Balance , No Work From Home Facility .",Please treat employees as assets and not machines.,Current Employee - Quality Analyst,I have been working at Tech Mahindra (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8469276.htm,2,3,3,2,2
50,empReview_8448171,3, 27 Oct 2015,Good,Lots of opportunity to grow technology,Less payManagement politicsNo career growth,Null,Former Employee - Technical Associate,I worked at Tech Mahindra (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8448171.htm,3,3,3,2,1
51,empReview_3622129,3, 1 Feb 2014,"Stagnant career, compromise with salary","good work environment, good hr activities,","stagnant career growth- you will be getting the same work all the time , band structure which has no transparency, work pressure depending on project , very less salary hike max 8%, as you spend more time in the project manager becomes irritating giving you more work pressure and very less leaves.",try to care about present employees instead of in-taking new lateral joinees,Current Employee - Senior Engineer,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3622129.htm,4,3,2,2,3
52,empReview_3538241,4, 15 Jan 2014,I enjoyed working in Tech Mahindra over a span of 3 years. Learned a lot.,"Lots to learn if placed in good project, Nice Work Culture, Good colleagues will help you out in problems, a very good brand name, perfect start for freshers.","Annual Appraisals are bad, Performance bonuses never judged on performance.","Be more focused on employees, instead of just increasing client base and overtaking companies.",Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3538241.htm,4,4,4,3,3
53,empReview_3604500,2, 28 Jan 2014,great team,learnt new tools at the start,fresh college grads did not get much work to do until a long time,Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3604500.htm,4,2,2,2,2
54,empReview_3598728,3, 27 Jan 2014,Good Projects for Learning but Salary is not Good,"Tech Mahindra is best for onsite opportunity and client interaction. One can polish his communication skills, for example, you may have direct calls with onsite team frequently with no lead or manager in between. They have good projects in various technologies for different clients. For US client, timing also is good i.e. 2nd shift which you may or may not suits you.","The biggest cons is Salary at offshore which is not per the market standard. You may consider this only if your goal is to be at onsite location otherwise you will feel that you are under paid. They had recently changed some of the policies like, bad appraisals, reduced paid leaves, etc. The environment, transportation, food also not so good and hardware like Monitor also so old sometimes.",Please provide good appraisals and CTC for new joiners so that they can continue at offshore.,Former Employee - Senior Associate TG2 Technical,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3598728.htm,4,3,4,2,4
55,empReview_3595009,2, 27 Jan 2014,Tech Mahindra,Good for those interested in telecom domain,Worst working environment for the employees,Consider employee satisfaction,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3595009.htm,2,1,2,2,2
56,empReview_3522132,4, 11 Jan 2014,Ample opportunities to growth at Tech Mahindra,"Challenges abound, both technical and otherwise which need meticulous planning and execution; Since integration of Mahindra Satyam and Tech Mahindra, have seen a tremendous cohesion among employees and sense of One team feeling",Needs to cut out procrastination; Need to inculcate sense of ownership (of tasks / projects); Need to lose people who are of no real value to the company,Doing a good job; Provide growth opportunities to deserving candidates,Current Employee - Project Manager,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3522132.htm,4,4,4,4,4
57,empReview_3581600,2, 24 Jan 2014,Appraisal cycle is vague and dissatisfactory,Learning and career growth opportunities are satisfactory.,Employee satisfaction is given minimal importance.,Null,Current Employee - Senior Quality Analyst,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3581600.htm,3,4,3,1,2
58,empReview_3571922,3, 22 Jan 2014,Good company to start your career,"for freshers it is a good company, give opportunities to the freshers","nothing much to learn.No growth here,managers will not release you and you get stuck in a project to all ur time in TechM","Give associates chance to change their projects after working for few years, otherwise stagnation will make associate to leave the company",Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3571922.htm,3,4,3,2,3
59,empReview_3569731,3, 21 Jan 2014,It was OK.,(i) Company with good leaders and vision to grow.(ii) Specializes in providing services and solutions for Telecom industries.(iii) Long term prospects look good.(iv) Extensive training module which I find good.,(i) Not an effective HR team.(ii) Delayed joining dates especially for fresh graduates. No compensation provided in the mean time.(iii) Talent pool concept and bench concept is not appropriate.,"Please treat your employees, especially the fresh heads with care and respect. They are a part of the team as well. HR team needs to buckle up and see to it that faster joining and intake procedure is adopted.",Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3569731.htm,3,4,3,3,3
60,empReview_3555312,3, 18 Jan 2014,Good if you are technically strong and hard working otherwise may be hell for you,1. Development projects are good compare to other INDIAN MNC have. Good learning.2. Every one has lot of work to do in limited time. If you perform good you will get recognized easily.3. Middle Management like Project Manager/Senior project manager are smart people.4. Give freedom to implement your ideas.5. In some Business units they are promoting Techno managers only so you will not be reporting to a technically good manager.,1. Infrastructure not good . Too much congested make you feel like working in BPO.2. HR is just for name sake . Too much work pressure.3. Office services team (Transport etc) unprofessional.4. Fired a lot of people in 2008-09 recession period .5. Does not pay good.6. Very difficult to change project.,Company had very good work environment till 2008. After separation from British telecom its losing all ethics. Improve your HR standards and respect your employees.,Former Employee - Senior Associate TG1 Technical,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW3555312.htm,3,2,5,2,4
61,empReview_11559135,4, 14 Aug 2016,Nice company for freshers,Strict at initial training for freshers.,Increment is not up to the mark.,Increments should be considered thoroughly.,Current Employee - Software Developer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11559135.htm,3,4,4,4,5
62,empReview_11711812,3, 28 Aug 2016,Ttechnical architect,"Good place to work ,dependeds on team to team if ur luck ;-)",Management not emp friendly,Null,Current Employee - Technical Architect,I have been working at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11711812.htm,2,1,2,2,1
63,empReview_11712314,3, 28 Aug 2016,Feedback - 9 years stint - total 25 year experience,Location in city area - Pune (Sharada Center),Huge gap between leader aspiration and floor inspiration,Bridge gap between executive management and middle management.Middle Management needs to be more enabled and inspired.,Current Employee - Principal Consultant,I have been working at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11712314.htm,3,2,3,2,2
64,empReview_11712905,3, 28 Aug 2016,Good Company,Work from home facility available.Onsite also available.100% variable pay of on project.,Salary increment based on performance.,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11712905.htm,2,2,Null,2,2
65,empReview_11716329,2, 28 Aug 2016,Good Company Old Leaders,Good Brand Image. Variety of clients.,Lackasaidal approach towards experienced employees,Null,Current Employee - Senior Project Manager,I have been working at Tech Mahindra (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11716329.htm,3,2,2,1,1
66,empReview_11698019,2, 26 Aug 2016,A bag full of air and nothing else!,1. Employee can get a good learning curve provided they land up such roles,"1. No Salary correction at all2. They adopt everything else from peer companies but when it comes to compensation the buck stops there.3. Very Very flawed appraisal system4. Growth opportunities very less, employee are stuck in their roles for years and maybe retire from that position. Leaving the company is like impossible as after a certain period of time nobody wants you.","Please Please retain your good and loyal employees, everybody is leaving TechM ..from a powerful brand the company is now becoming a second rated tansit camp for people who are not finding any jobs but when they get they simply move on without blinking an eye, retention perks are very very poor.",Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11698019.htm,3,3,2,1,1
67,empReview_11965252,1, 16 Sep 2016,Poor,Lots and lots of work.Good training.On-site opportunity.Good pay for lateral joiner.European client projects.Josh activities on regular basis.,Worst company to work with.Poor management.Really poor appraisal.No work life balance.No allowance for weekend work.Politics based on your region.Never come to this company,Try to know who's actually working and who is just adding you in mail.,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11965252.htm,1,1,1,1,1
68,empReview_11543818,4, 12 Aug 2016,Good company to work with,Very good onsite oppurtunities.Can grow very fast,Lots of politics and less hikes,Should be more employee friendly.,Current Employee - Solution Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW11543818.htm,2,4,4,3,3
