id,reviewNumber,overallRating,date,summary,pros,cons,adviceToManagement,employeeType,position,reviewLink,workLife,culture,careerOpps,compBenefits,management
7777,empReview_8733826,1, 23 Nov 2015,Not good for freshers,Can only count on experience with the name of the name,No growth for fresher. No proper training.,Null,Current Employee - Business Associate,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8733826.htm,1,1,1,2,1
7778,empReview_8350570,4, 19 Oct 2015,Software Engineer,A good company to work for if you have interest in Telecom Domain,HR needs to be more informed while allocation of project,Improve Talent management of the company,Former Employee - Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8350570.htm,3,4,3,3,3
7779,empReview_8505558,3, 1 Nov 2015,Should give opportunity for increasing indiviual growth,"Work culture is goodManagement is also good , also depends upon your luck",Financially growth is very slowPoor appraisal policy,Need to give releases from project for individual's growth within the same company,Current Employee - Associate,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8505558.htm,4,5,3,3,4
7780,empReview_8340856,5, 18 Oct 2015,Good,Work environment is very good,no cons found till now,keep up the good work,Former Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8340856.htm,5,5,5,3,2
7781,empReview_8506412,2, 2 Nov 2015,n/a,good work life balance and environment,no hike and job oppurtunities,Null,Current Employee - Test Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8506412.htm,2,2,2,2,2
7782,empReview_8517738,2, 2 Nov 2015,Average service company company to work with,My manager was good&I had work from option.these are the only cons I found,less salary.no growth.no learning opertunities,Please appreciate the employees sticking to your company and give them a reasonable increment in salary,Current Employee - Senior Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8517738.htm,3,2,2,1,2
7783,empReview_8498402,3, 1 Nov 2015,Senior Software Engineer,"Better Onsite Opportunity, better to stay and join if your project has onsite opportunity",,Worst management No support from hr or Sr management to resolve things professionally as they internally partner such situation,Former Employee - Senior Software Engineer,I worked at Tech Mahindra (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8498402.htm,3,3,3,3,3
7784,empReview_8718983,1, 22 Nov 2015,STG,Good company to workflexible work environment,lot of politocsless salarydifficult to get promotion,Null,Former Employee - Systems Analyst,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8718983.htm,3,3,3,2,2
7785,empReview_8335326,4, 17 Oct 2015,Senior Associate,Good Environment,Nothing,Nothing.....,Current Employee - Anonymous Employee,I have been working at Tech Mahindra (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8335326.htm,3,3,3,3,3
7786,empReview_20357961,4, 29 Apr 2018,Good,Ofcource everything varies project to project but yes I had really great time with excellent team.Exceptional team.Great managers.,Appraisal cycle not fixed so the appraisal is not good.,Null,Former Employee - Senior Software Engineer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20357961.htm,4,4,3,2,3
7787,empReview_20360468,4, 29 Apr 2018,Gives Opportunity to learn,You can work and learn different technologies based on you project.,It has shifts in most of the projects. Delay in appraisals and hikes.,NA,Current Employee - Systems Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20360468.htm,3,4,5,5,4
7788,empReview_20865338,1, 2 Jun 2018,"If you want a Government like office, then please do join",1) Good for freshers as they get to learn a lot,"1) Very bias2) If you are not a from tamil nadu or andhra pradesh, its difficult to grow3) Highly unprofessional management and HR4) Associates resumes are faked so that clients consider them5) Its very very easy to clear the interview rounds of Tech Mahindra, you just have to be from the locations mentioned in (2)6) Due to (5) the hired associates have no technical skills7) No value for money, no matter how hard you work or prove your worthiness, your hike will range from 1-3%8) Hikes : Yes, you heard me right, hikes are only 1-3%9) Managers : Dont even know to speak proper English.",Please review the performance of your Managers.,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20865338.htm,2,2,1,1,2
7789,empReview_20866699,1, 3 Jun 2018,Stay away,There is no pros,"One never get appraisal. it will be only in process.9 hours mandatory, No WFHMost of the projects are moving to other companies. when you are in benchyou will get fired.No respect for employees.It will be difficult to move one IBU to other IBU when you are in bench they will block your profile and get fired.Salary is very low , no matter how many years of exp and how good you are",You cannot replace experienced with freshers.Give appraisal ... Don't postpone every year.,Former Employee - Solutions Architect,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20866699.htm,1,1,1,1,1
7790,empReview_20867526,1, 3 Jun 2018,"An Unethical, corrupt and highest level of politics in the Company",I could not find a single one.,,Get new business to maintain your profits rather than cost cutting in every possible area.,Current Employee - Associate Tech Specialist,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20867526.htm,1,1,1,1,1
7791,empReview_20874623,1, 3 Jun 2018,Biggest worst company,Best part is working with few giant client in client location.,Previously I worked this company for Gaint client. I never seen this much of worst company ever mainly this worst get to know at the time of applying H1B visa. This only applicable to those who are do bajana with most idiotic managers. Please and please those who want do best things and looking for a professionalism don't join with this company. Don't fall into their idiotic things..,Please change your mangers mentality or just stop doing a business... Don't apply cheap tricks in industry to scare professional...,Former Employee - Sr. Software Engineer,I worked at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20874623.htm,1,1,1,1,1
7792,empReview_20345210,4, 28 Apr 2018,Software Engineer,Goof working culture and good time mangement,"Nnothing as such, everything was good.",Everything is good.,Former Employee - Anonymous Employee,I worked at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20345210.htm,4,4,4,4,4
7793,empReview_20337293,4, 27 Apr 2018,Technical Lead,Great work environment and good projects.,Management issues and sometimes people are placed in a differently skilled projects.,Null,Former Employee - Anonymous Employee,I worked at Tech Mahindra full-time (More than 8 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20337293.htm,Null,Null,Null,Null,Null
7794,empReview_20537262,3, 11 May 2018,Good,Employee friendly environment and nice architecture,Lack of new projects amd very less hike,Nil,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20537262.htm,4,4,4,2,4
7795,empReview_20539057,3, 11 May 2018,My experience with TechM,Green campus at electronic city,No work security.No proper way of project allotmentNo thought process behind scheduling resources to a team/projectI can go on listinggggg...,Null,Current Employee - Project Manager,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW20539057.htm,3,2,3,3,2
7796,empReview_8171552,3, 4 Oct 2015,Tech m review,Friendly co workersgood working environment,Extra hours of workHectic schedule,Pls keep strict working hrs and extra pay for employees working extra hours,Former Employee - Associate Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8171552.htm,2,3,4,3,3
7797,empReview_8174435,3, 4 Oct 2015,Business Associate,"Good Exposure, Many Opportunities, Opportunity to move into other functions/teams and good learning experience",Poor Appraisal and Less salary compared to its competitors,The focus shouldn't only be on Revenue Generation and good BS but also on making employees happy and rewarding them effectively.,Current Employee - Business Associate,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8174435.htm,3,3,4,1,3
7798,empReview_8171316,2, 4 Oct 2015,titile,"good place to work , good work life balance","poor salary hike , poor appraisal , no promotions",needs to be more focussed on the quality of the work,Current Employee - Software Engineer,I have been working at Tech Mahindra (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8171316.htm,2,3,2,1,1
7799,empReview_8007448,4, 19 Sep 2015,projects,"Freshers can learn a lot only during trainings, and rest al depends upon there luck.. the typeof [rject they get, if you are into some development project it is well and good to work further.",you can find less number of development projects,Map people into projects as per their skills rather than giving some irrelevant projects,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8007448.htm,Null,Null,Null,Null,Null
7800,empReview_8166907,3, 3 Oct 2015,Tech Mahindra,Positive work environment and work life balance,Lack of projects and more number of ppl in bench,Recruitment should be based on actual project requirements,Former Employee - Software Engineer,I worked at Tech Mahindra (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8166907.htm,3,3,2,1,1
7801,empReview_8404363,1, 23 Oct 2015,for the name the company has treats employees quite poorly,not that i know of. It gives no space for contingencies. Leaves are imaginary even during emergencies. Treats employees very poorly,pay is too low. Like extremely low. All luck based . Promote rote memory even during work. Unplanned appointments. Make people wait to even be called to join the job without any communication in the interim period,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8404363.htm,Null,Null,Null,Null,Null
7802,empReview_8162809,2, 2 Oct 2015,Not Satisfied,Social work life balance is good. You get lot of time as a fresher to reach out for actaul work in project.,Over burdon of work at time. Appreciation needed as motivation. There is lack of it.,Need lot of improvement.,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8162809.htm,4,4,2,1,2
7803,empReview_7982006,4, 17 Sep 2015,Software engg at TechMahindra,Good initial training for freshersOpportunity to show your work in development projectMany events are organised to refresh the employees,Management is not much interested in retaining their employees,Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW7982006.htm,3,4,4,2,2
7804,empReview_8138324,3, 30 Sep 2015,Great Place to get Onsite,- Great place to get onsite.- Onsite compensation is inline with other IT players but don't expect too much.- Yearly hikes are generous.- Take Home salary is best in Industry.- If you are person from Telecom background its a best place to sharpen your ski,- Close monitoring in place to work minimum 9.5 hours- Management is not very supportive- Not HR policies driven company.- Support functions are less responsive which makes life hell.- Work culture is not great.,Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW8138324.htm,1,1,3,3,1
7805,empReview_7958109,4, 15 Sep 2015,quality in company,"good work culture,hike is good","worked in same technology for long duration, but its cant be said as company's fault too",Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW7958109.htm,5,4,4,4,4
7806,empReview_1704339,2, 8 Jul 2012,It was very disappointing experience with TechM due to lot of politics and work culture,"flexible timing, not very high work pressure, very good for married people who like to work on the 9 to 5 time schedule","a lot to go along with this, no recognition of talent and hard work, lot of politics, poor compensation, onsite opportunities to only few favorite people and no rotation policy at all, no transparent policies for anything","Identify key people, Recognize people and appreciate their work, removed the middle management as they are the main reason for attrition",Former Employee - Business Process Designer,I worked at Tech Mahindra full-time (More than 5 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1704339.htm,1,1,1,1,2
7807,empReview_1639904,4, 24 Jun 2012,Good to work company,Get to work in different technologies.,Growth is little slow here.,Be open to change and encourage your team to feel good about Company.,Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1639904.htm,3,4,4,3,3
7808,empReview_1642530,4, 24 Jun 2012,Indian IT co with good organisational practices,"Convivial enviroment, lots of opportunities, Sound Training programs etc.",A bit rigd in employee related policies,Null,Former Employee - Software Developer,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1642530.htm,4,4,3,3,4
7809,empReview_1642616,4, 24 Jun 2012,Tech Mahindra gave initial Boost to my Career,Many Onsite Opportunities are available in different projects,Career Options are limited to Telecommunication Domain to some extent,Opportunities for growth should be channelized properly,Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1642616.htm,4,3,3,3,3
7810,empReview_1643277,4, 24 Jun 2012,Goodenvironment to work in,The Tech M's culture is just great along with its awesome work environment . You never feel like frustrated of over burdened with work . Also there are many hands to help.,The only con is the salary structure and the incentive policy.,Null,Current Employee - Technical Associate,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1643277.htm,5,5,4,3,4
7811,empReview_1647058,5, 25 Jun 2012,Working with Tech Mahindra,Working with Tech Mahindra was a great experience with me. The good point is that the company takes care for both ESAT(Employee satisfaction factor) and CSAT(Customer Satisfaction) and keeps a balance between both. The compensation policy of this company is also adored by many of the techmighty.The ITP gives a good head start for the freshers other than any other companies.,Tech M should focus more on growing itself in locations like Kolkata where there is a good scope for business as well. After acquiring Satyam they should be moved to a many vertical organization which they are still to achieve.Another point that I observed that the HR is unable to put right talent at the right place.Through the ITP training grooming can be done to put a resource to a appropriate position which does not happen here.,Null,Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1647058.htm,5,4,5,5,4
7812,empReview_1695890,2, 6 Jul 2012,"TechM, no value of your choices","Its a good place to work, with a lot of onsite opportunities. Some of the managers are really helpful and you get to work for AT&T and BT, giving you a chance to shift company as there projects are dispersed across industry.","No value for you as a person. You are just a labor for them and they can put you in any department, irrespective of your skills talents and choices. They do not consider in which direction you want to grow, you will be allocated an arbitrary assignment without discussing with you and you will not be given a chance to opt out of it, even if there are better suiting assignment. Makes employees frustrated. Pathetic HR policies.",Take into consideration about the choices of freshers and there skill set. Your HR is totally useless and uses arbitrary methods for allocating assignments. Take into consideration the skills and talents of your employees for assigning departments to them. And be a bit more flexible in inter department movement.,Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1695890.htm,3,2,2,3,3
7813,empReview_1688975,3, 4 Jul 2012,Good Platform for jump starting your career,"Flexi timingsITP training is one of the best in the industry.Transition from college to IT pro is smooth.As a fresher you been thrown into battle field, so good learning experience.",Too much dependent on freshers.Salary is below industry standards.RegionalismNot many greenfield projects at the time I was working.,"Learn to respect freshers and value them , stop treating them as someone who can keep changing their skills as per your needs. I would have loved to continue working with you guys had politics not come into picture. Please hire management who are efficient.",Former Employee - Technical Associate,I worked at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1688975.htm,3,3,4,3,1
7814,empReview_1684969,3, 3 Jul 2012,Huge dependency on BT and BT is shrinking causing adverse impact on TechM,"Good for beginners, or who wanted to pursue career in telecom.",Only Telecom domainHuge BT dependency,"I understand it is challenging but try to improve ESI. Most of the talented and experienced are leaving the org, you can check the statistics.",Current Employee - Solution Designer,I have been working at Tech Mahindra full-time (More than 5 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1684969.htm,2,3,3,2,3
7815,empReview_1686744,2, 3 Jul 2012,Not Employee Friendly,ITP TrainingDifferent cultural activities are carried out occasionally.,Job is not assigned as per your success in training. They will pick any random department and will throw you there to work.Appraisals are on basis of politics. :)Dont expect to much growth in terms of knowledge & other areas too.,Need to improve appraisal system.,Current Employee - Technical Associate,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1686744.htm,2,4,2,2,1
7816,empReview_4526485,3, 6 Jul 2014,Average company to work with.,After Satyam merger this company has become huge and the opportunities within the company is also more.,Work culture is poor.. cheap politics,Nothing much to say,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4526485.htm,2,2,3,3,2
7817,empReview_4523100,3, 5 Jul 2014,For Learning TechM is quite good but in terms of salary standards and HR policies it is really ridiculous.,"I cannot say good environment as pros because it is totally depend on which project you get into, who is your manager, how are your teammates, then only you could decide office culture. But for me, it turned as good. Though our superiors are dull, not willing to bring changes, just obey clients orders blindly.",,,Current Employee - Network Engineer,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4523100.htm,3,4,3,2,3
7818,empReview_4503179,3, 1 Jul 2014,Solution Architect,Have some good projects and associates around; association between them are good.,"Poor facilities to employees, compensation is not great, employees are treated just as another resource",Null,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4503179.htm,2,3,3,2,2
7819,empReview_4462474,3, 24 Jun 2014,"I am contracting with them through MSFT. Love MSFT but as a vendor, TM is OK.","I would at Microsoft, so I can say, I love the Service Transition team and culture. I have contracted a lot at MSFT and have enjoyed it.","Cons are as a contractor my 15 month gig, was fiscalled after 2 months, so no security.","Contact your vendors more often, please",Current Employee - Technical Writer,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4462474.htm,5,4,4,5,3
7820,empReview_4348868,5, 5 Jun 2014,women friendly,good environment and saisfiedwomen friendly,lack of vision and clarity,Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4348868.htm,5,4,3,2,2
7821,empReview_4431109,3, 18 Jun 2014,Good,Personal growth is there and get good recognition.,Policy is not good and salary is less.,Please revise compensation,Current Employee - Tech Lead,I have been working at Tech Mahindra full-time (More than 5 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4431109.htm,3,3,3,3,3
7822,empReview_4319325,5, 31 May 2014,Fantastic Exposure,"Flat Organization Structure, enables you to grow and if you have the right capability and ability no one can stop your success",Not much that i have encountered. But i believe Cons is an integral part of a successful organization. As far as the management is making constant effort to reduce it. Its fine.,Doing a fantastic job. Can increase transparency and focus to the root level employees,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4319325.htm,Null,Null,Null,Null,Null
7823,empReview_4399003,3, 13 Jun 2014,Bad management,Technically learnt a lot as the end customer was a telecom giant,Average compensation. May not be a good company for top notch performers. Management doesn't recognize talents.,Recognize talents and try to retain good employees. Be responsive to employees.,Current Employee - Anonymous Employee,I have been working at Tech Mahindra full-time,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4399003.htm,3,4,4,2,1
7824,empReview_4399736,3, 13 Jun 2014,ok,"good trademark,good campus,work/life balance,good food,good culture","poor mgmt,poor salary,no befits,no compensation,no growth",Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4399736.htm,Null,Null,Null,Null,Null
7825,empReview_4507627,1, 2 Jul 2014,Salary,Flexible location and can work flexi hours depending on client requirement,Very low salary for Indian employee transferred to UK payroll. No increment for 4 yrs,Treat Indian employees same as local hire.,Current Employee - Senior Project Manager,I have been working at Tech Mahindra full-time (More than 5 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW4507627.htm,1,1,1,1,1
7826,empReview_1629258,3, 21 Jun 2012,Average,StabilityTelecom domain knowledgeITP training for freshers is very goodFriendly environmentAverage hikesemployee Transportation,"Resource skill utilization is weakonsite opportunity depends on luck and project wiseappraisal policies very slow in implementationbuttering to managersLess development projects , more towards testing and support","Resource utilization should be used effectively , project management is weak, business growth",Current Employee - Technical Associate,I have been working at Tech Mahindra full-time (More than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1629258.htm,4,4,3,3,3
7827,empReview_1576543,5, 9 Jun 2012,Brilliant,"Exposure, Scope of work, Access to resources, Technology",Sometimes the work pressure for deadlines can be a little much,Keep up the great work,Current Employee - Senior Solutions Architect,I have been working at Tech Mahindra full-time (Less than a year),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1576543.htm,4,5,5,5,4
7828,empReview_1567069,4, 6 Jun 2012,It was a great experience to work in TechMahindra,The overall career growth is really good in TechMahindra. Management has a trust in people and allow to go for a deep drive.,Compensation policy should be more transparent and there is no benefits for long term employee.,Null,Former Employee - Team Leader,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW1567069.htm,4,3,4,3,4
